mode,seed,requested_refine_ratio,loss,ppl,final_acc,top5,correction_precision,correction_recall,wrong_edit_rate,preserve,refine_ratio,accept_rate,latency,communication_MB,wrong_to_correct,correct_to_wrong,wrong_to_wrong,correct_to_correct,wrong_to_correct_ratio,correct_to_wrong_ratio,wrong_to_wrong_ratio,correct_to_correct_ratio
random_refine_mask,7,0.2,4.493849212886885,89.46515437584304,0.2831632149414621,0.4839983415924661,0.1182745555231711,0.028708878669968164,0.12965683873706207,0.870343161262938,0.20421117055931767,1.0,0.02489061109496106,0.005859375,2029,3971,68646,26656,0.02002921956131172,0.03919962093542082,0.677637164123117,0.2631339953801504
low_conf_refine,7,0.2,4.394424664115405,80.99801628917147,0.3182859173560246,0.5277980691397998,0.147502356267672,0.03985850725150336,0.03921376563163222,0.9607862343683677,0.20421117055931767,1.0,0.02489568302524276,0.005859375,2817,1201,67858,29426,0.02780794061321593,0.01185563957276263,0.6698584430712128,0.2904779767428086
draft_refine_adapter,7,0.2,4.792047166256666,120.5478978227639,0.320260212039249,0.5256559594085013,0.15417155088935325,0.042801556420233464,0.03947497306298364,0.9605250269370164,0.20421117055931767,1.0,0.02759987727506086,0.005859375,3025,1209,67650,29418,0.029861207083769322,0.011934611360091607,0.6678051766006594,0.29039900495547966
adapter_gate,7,0.2,4.7799452989749245,119.09783509296435,0.3210400584391226,0.5261100471856429,0.15755862646566166,0.0425893172974885,0.03640578574460444,0.9635942142553956,0.20421117055931767,0.9507903514284333,0.027576527324636117,0.005859375,3010,1115,67665,29512,0.029713134982527492,0.01100669285897613,0.6679532487019012,0.2913269234565951
oracle_refine_mask,7,0.2,4.42291767196955,83.33908709657673,0.32936171052891355,0.5172750784782136,0.1465660296558,0.038740714538379906,0.0,1.0,0.20421117055931767,1.0,0.02499817353898834,0.005859375,2738,0,67937,30627,0.027028094213342284,0.0,0.6706382894710865,0.30233361631557126
error_aware_refine,7,0.2,4.383439354227104,80.11309743292546,0.32197784841365423,0.5311938559949458,0.15345058109636944,0.04222143615139724,0.032455023345414176,0.9675449766545858,0.20421117055931767,1.0,0.02491331554534554,0.005859375,2984,994,67691,29633,0.029456476673708317,0.009812244575625358,0.6682099070107205,0.2925213717399459
error_aware_adapter,7,0.2,4.807076159178974,122.37329389981868,0.3238336854158852,0.5295551914078696,0.15894673245393212,0.0446692607003891,0.03196525941163026,0.9680347405883697,0.20421117055931767,1.0,0.027495774130511564,0.005859375,3157,979,67518,29648,0.031164241574697438,0.009664172474383526,0.6665021421097312,0.29266944384118776
error_aware_adapter_gate,7,0.2,4.795323404893289,120.94348917516322,0.3242779017196107,0.5299303073976822,0.16207163102293223,0.04449946940219314,0.030104156463251378,0.9698958435367486,0.20421117055931767,0.9597331657562721,0.027415688369364942,0.005859375,3145,922,67530,29705,0.031045783893703976,0.009101498489664567,0.6666205997907247,0.2932321178259067
utility_gate,7,0.2,4.792038905886761,120.54690205664927,0.320260212039249,0.5256757023553336,0.15417155088935325,0.042801556420233464,0.03947497306298364,0.9605250269370164,0.20421117055931767,0.948470053656886,0.027512415279707058,0.005859375,3025,1209,67650,29418,0.029861207083769322,0.011934611360091607,0.6678051766006594,0.29039900495547966
